race_date,race_id,race_no,horse_id,horse_name,jockey,trainer,course,target_finish_position,target_won,distance,f_horse_age,f_declared_weight,f_horse_weight,f_weight_change_pct,f_current_rating,f_rating_change,f_days_since_last_run,f_gallop_count_7d,f_gallop_count_14d,f_gallop_count_28d,f_gallop_last_time_sec,f_swim_count_14d,f_trot_count_14d,f_intensity_score_14d,f_has_partner_gallop,f_gallop_jockey_match_flag,f_vet_days_since_injury,f_vet_recovery_days,f_vet_tendon_issue,f_vet_recent_90d_flag,f_incident_last_days,f_incident_slow_out_flag,f_incident_blocked_flag,f_exp_distance_delta,f_exp_gear_first_time,f_exp_gear_removed,f_exp_rating_drop,f_career_total_runs,f_career_win_rate,f_career_top3_rate,f_career_avg_rank_last3,f_career_avg_margin_last3,f_course_cd_win_rate,f_best_time_sec,f_pace_style_code,f_import_ISG,f_import_PP,f_horse_weight_z,f_current_rating_z,f_intensity_score_14d_z,f_career_avg_rank_last3_z,f_draw_pct,f_rating_change_pct,f_best_time_sec_pct,fold
15/07/2026,859,2,HK_2024_K229,三強,楊明綸,鄭俊偉,跑馬地,10,0,1200,5,122.0,1154.0,0.011265164644714,46,-2,21,2,3,3,25.3,6,10,20.0,0,0,514,9,0,0,21,0,0,0,0,1,0,19,0.0526315789473684,0.2105263157894736,8.333333333333334,5.083333333333333,0.0833333333333333,69.42,3,0,1,0.3661300540228854,-0.5228763864480582,-0.5120175820435006,0.1490542628524158,1.0,0.0909090909090909,0.5454545454545454,1
15/07/2026,859,2,HK_2023_J398,金駒永騰,黃智弘 (-3),伍鵬志,跑馬地,5,0,1200,6,122.0,1202.0,0.0049916805324459,46,-2,14,2,2,3,26.4,10,12,22.0,0,0,771,-1,0,0,14,1,1,0,0,0,0,21,0.0,0.0952380952380952,10.666666666666666,6.583333333333333,0.0,68.89,1,0,1,1.2712412605343926,-0.5228763864480582,-0.1451990158033809,0.8258411860741949,0.4545454545454545,0.1818181818181818,0.0,1
15/07/2026,859,2,HK_2023_J359,天下寵兒,艾兆禮,廖康銘,跑馬地,2,0,1200,5,121.0,1118.0,0.0080500894454382,45,2,42,1,3,4,23.3,0,13,15.5,0,0,827,7,0,0,42,0,0,0,0,0,0,27,0.037037037037037,0.4444444444444444,4.0,2.4833333333333334,0.0714285714285714,69.12,1,0,0,-0.3127033508607449,-0.7252801489440807,-1.3373593560837698,-1.1078357374166032,0.3636363636363636,1.0,0.1818181818181818,1
15/07/2026,859,2,HK_2022_H454,良駒好友,梁家俊,文家良,跑馬地,9,0,1200,6,119.0,1192.0,0.0016778523489932,43,-2,35,1,2,4,24.4,7,15,20.5,0,0,549,16,0,0,35,0,0,0,0,0,0,40,0.075,0.125,5.666666666666667,2.5,0.0666666666666666,69.04,2,0,1,1.0826764258444952,-1.1300876739361254,-0.4203129404834707,-0.6244165065439036,0.8181818181818182,0.2727272727272727,0.0909090909090909,1
15/07/2026,859,2,HK_2022_H134,精益大師,黃寶妮 (-7),葉楚航,跑馬地,6,0,1200,6,118.0,1128.0,0.0106382978723404,42,0,21,1,2,2,26.0,13,14,26.0,0,0,1217,-1,0,0,21,0,0,0,0,0,-16,47,0.0638297872340425,0.3191489361702128,5.333333333333333,4.683333333333334,0.0625,69.45,1,0,1,-0.1241385161708476,-1.3324914364321478,0.5884381166768584,-0.7211003527184436,0.9090909090909092,0.7272727272727273,0.6363636363636364,1
15/07/2026,860,3,HK_2023_J266,香港神駒,艾道拿,沈集成,跑馬地,11,0,1800,6,135.0,1017.0,-0.0098328416912487,58,0,49,2,2,4,25.7,13,15,29.0,0,1,719,-1,0,0,49,0,0,0,0,0,0,31,0.0967741935483871,0.2580645161290322,6.666666666666667,3.733333333333333,1.0,108.72,3,0,1,-1.1209233570582111,1.9126494315742408,1.014466370910119,0.1832678437495782,0.3636363636363636,0.7272727272727273,0.6363636363636364,3
15/07/2026,860,3,HK_2023_J494,領航天子,霍宏聲,廖康銘,跑馬地,4,0,1800,5,133.0,962.0,-0.0124740124740124,56,-2,7,0,2,2,26.1,11,11,22.5,0,0,406,22,0,0,7,0,0,0,0,0,0,15,0.0666666666666666,0.1333333333333333,5.333333333333333,2.6666666666666665,0.0,114.63,3,0,1,-1.824833362442056,1.462614271203831,0.0315051667984507,-0.403189256249072,0.0909090909090909,0.0909090909090909,0.9090909090909092,3
15/07/2026,860,3,HK_2022_H388,風火恆雲,何澤堯,姚本輝,跑馬地,10,0,1800,6,129.0,1104.0,-0.0054347826086956,52,0,18,2,2,2,25.3,11,12,23.0,0,1,418,136,0,0,18,0,0,0,0,0,0,31,0.0967741935483871,0.2903225806451613,5.666666666666667,3.1833333333333336,0.0,106.74,3,0,0,-0.0074657121783125,0.562543950463012,0.1071175671147329,-0.2565749812494093,0.9090909090909092,0.8181818181818182,0.0909090909090909,3
15/07/2026,860,3,HK_2022_H296,八駿笑昇,布文,告東尼,跑馬地,3,0,1800,6,128.0,1117.0,-0.0089525514771709,51,-2,32,2,3,5,27.0,14,15,30.5,0,0,843,25,0,0,32,0,0,0,0,0,0,41,0.073170731707317,0.2682926829268293,8.333333333333334,5.5,0.125,107.8,3,0,1,0.1589130163669597,0.3375263702778072,1.2413035718589656,0.916339218747891,0.5454545454545454,0.1818181818181818,0.4545454545454545,3
15/07/2026,860,3,HK_2023_J452,步風雷,艾兆禮,伍鵬志,跑馬地,6,0,1800,4,128.0,1051.0,-0.0095147478591817,51,-1,21,2,4,4,27.4,11,14,30.0,0,1,108,18,0,0,21,1,0,0,0,0,0,22,0.0909090909090909,0.4545454545454545,11.0,10.583333333333334,0.25,107.33,3,0,0,-0.6857789900936533,0.3375263702778072,1.1656911715426834,2.0892534187451908,1.0,0.6363636363636364,0.2727272727272727,3
15/07/2026,860,3,HK_2024_K351,勁步速,黃寶妮 (-7),徐雨石,跑馬地,9,0,1800,5,126.0,987.0,-0.0091185410334346,49,-3,18,1,2,3,24.6,0,13,12.5,0,0,382,61,0,0,18,1,0,0,0,1,0,9,0.0,0.0,9.0,9.166666666666666,0.0,999.0,1,0,1,-1.5048742690857628,-0.1125087900926024,-1.4807428395271929,1.2095677687472155,0.2727272727272727,0.0,1.0,3
15/07/2026,860,3,HK_2022_H324,大千氣象,黃智弘 (-3),方嘉柏,跑馬地,7,0,1800,6,124.0,1206.0,0.0132669983416252,47,-2,21,1,2,2,24.5,0,13,12.5,0,0,977,30,0,0,21,1,0,0,0,0,-20,0,0.0,0.0,5.666666666666667,2.9166666666666665,0.1111111111111111,109.21,3,0,0,1.297967388715362,-0.562543950463012,-1.4807428395271929,-0.2565749812494093,0.0,0.2727272727272727,0.7272727272727273,3
15/07/2026,860,3,HK_2022_H233,北海盜,潘明輝,賀賢,跑馬地,12,0,1800,6,120.0,1179.0,0.010178117048346,43,-2,21,1,2,2,23.6,13,10,24.0,0,0,977,14,0,0,21,0,0,0,0,0,-16,42,0.0952380952380952,0.3333333333333333,5.666666666666667,3.4166666666666665,0.2,107.7,2,0,0,0.9524115678905658,-1.462614271203831,0.2583423677472972,-0.2565749812494093,0.8181818181818182,0.3636363636363636,0.3636363636363636,3
15/07/2026,860,3,HK_2023_J502,蜜蜜送,田泰安,韋達,跑馬地,8,0,1800,5,120.0,1177.0,0.0127442650807136,43,-2,18,1,2,2,24.1,1,11,12.5,0,0,610,43,0,0,18,0,0,0,0,0,0,19,0.0526315789473684,0.2105263157894736,5.333333333333333,2.583333333333333,0.2,107.26,2,0,0,0.9268148404220624,-1.462614271203831,-1.4807428395271929,-0.403189256249072,0.7272727272727273,0.4545454545454545,0.1818181818181818,3
15/07/2026,861,4,HK_2024_K041,深心星,莫雷拉,方嘉柏,跑馬地,2,0,1650,4,135.0,1255.0,0.0039840637450199,58,0,24,0,0,0,30.0,10,13,16.5,0,0,613,10,0,0,24,0,0,0,0,0,0,10,0.1,0.5,4.333333333333333,3.583333333333333,0.0,999.0,1,0,0,1.949580357924568,1.4990671904573178,-1.2866557695344054,-0.7876003995422611,0.1818181818181818,0.8181818181818182,0.8181818181818182,2
15/07/2026,861,4,HK_2022_H116,大學生,金誠剛,韋達,跑馬地,10,0,1650,7,133.0,1238.0,0.0096930533117932,56,-2,21,1,3,3,25.9,14,9,27.5,0,0,1195,11,0,0,21,0,0,0,1,1,0,44,0.0681818181818181,0.1818181818181818,6.333333333333333,5.083333333333333,0.09375,98.54,1,0,1,1.7028592704452798,1.1163266311916198,0.2643813225070696,-0.1243579578224623,0.0909090909090909,0.1818181818181818,0.0,2
15/07/2026,861,4,HK_2023_J098,先到先得,艾道拿,蔡約翰,跑馬地,4,0,1650,5,131.0,1159.0,0.0043140638481449,54,0,21,1,2,2,26.0,12,14,27.5,0,0,1030,-1,0,0,21,0,0,0,0,0,0,29,0.1034482758620689,0.3448275862068966,2.333333333333333,1.1166666666666667,0.15,99.19,3,0,0,0.5563318639238833,0.7335860719259217,0.2643813225070696,-1.45084284126206,0.5454545454545454,0.9090909090909092,0.0909090909090909,2
15/07/2026,861,4,HK_2024_K396,凱皇寶,蔡明紹,巫偉傑,跑馬地,11,0,1650,4,131.0,1101.0,-0.0154405086285195,54,-2,56,1,3,4,28.3,13,13,28.5,0,0,35,12,0,1,35,0,0,0,0,0,0,10,0.0,0.0,4.5,6.625,0.0,100.26,3,0,1,-0.2854224345348635,0.7335860719259217,0.40538469451084,-0.7323301960656112,0.0,0.2727272727272727,0.3636363636363636,2
15/07/2026,861,4,HK_2024_K009,瑞祺威楓,田泰安,姚本輝,跑馬地,3,0,1650,5,122.0,1077.0,0.0083565459610027,45,-2,32,1,3,4,25.2,13,14,29.0,0,0,600,118,0,0,32,0,0,0,0,0,-17,20,0.0,0.25,6.333333333333333,3.4166666666666665,0.0,99.8,3,0,1,-0.6337345580350346,-0.9887464447697196,0.4758863805127252,-0.1243579578224623,0.7272727272727273,0.3636363636363636,0.2727272727272727,2
